Number of Iterations,CPU Time - GranuloTrack,Total Execution Time -  GraunloTrack,Total Execution Time - Time,CPU Time - Perf,Total Execution Time - Perf
1,1384985,1450859,1900000,580000,1278163
10,1385151,2043172,2000000,640000,1925835 
100,1408821,7704869,7900000,1180000,8245322
1000,2193512,63110994,63900000,2920000,64955613
10000,10050471,617267104,617300000,21630000,632730139
100000,85111237,6164265684,6165800000,208820000,6320117531
1000000,878440995,61691735465,61756000000,2404030000,63951144400
10000000,8998437657,614332422424,614356000000,20839230000,631856974540
