Number of Iterations,Instructions Captured by GranuloTrack,Instructions Captured by perf
1,1176056,644308
10,1256238,696292
100,1811560,1315296
1000,7441552,7446799
10000,63833216,68905994
100000,632286179,683708036
1000000,6304033233,6833838512
10000000,64259703931,68439358703
