Number of Iterations,Instructions Captured by GranuloTrack,Instructions Captured by gdb,Instructions Captured by perf
1,1184053,96254,608121
10,1157210,96299,610434
100,1149231,96749,611181
1000,1220704,101249,618446
10000,1300788,146249,663987
100000,1752622,596249,1111164
1000000,6252623,5096249,5618352
10000000,51340401,50096249,50658108
100000000,501812011,500096249,500941462
1000000000,5006201244,5000096249,5003431854
